run_id,vehN,pCAV,seed,mean_flow(veh/h),max_flow(veh/h),mean_speed(m/s),det_xml
vehN50_p045_seed1,50,0.45,1,1250.400,1380.000,27.984,out/vehN50_p045_seed1_e1.xml
vehN60_p045_seed1,60,0.45,1,1322.400,1500.000,28.052,out/vehN60_p045_seed1_e1.xml
vehN70_p045_seed1,70,0.45,1,1376.400,1680.000,28.033,out/vehN70_p045_seed1_e1.xml
vehN80_p045_seed1,80,0.45,1,1383.600,1560.000,28.045,out/vehN80_p045_seed1_e1.xml
vehN90_p045_seed1,90,0.45,1,1410.000,1620.000,27.607,out/vehN90_p045_seed1_e1.xml
vehN100_p045_seed1,100,0.45,1,1521.600,1740.000,26.680,out/vehN100_p045_seed1_e1.xml
vehN110_p045_seed1,110,0.45,1,1446.000,1680.000,25.380,out/vehN110_p045_seed1_e1.xml
vehN120_p045_seed1,120,0.45,1,1436.400,1620.000,24.272,out/vehN120_p045_seed1_e1.xml
vehN10_p050_seed1,10,0.5,1,334.800,540.000,28.614,out/vehN10_p050_seed1_e1.xml
vehN20_p050_seed1,20,0.5,1,673.200,960.000,28.644,out/vehN20_p050_seed1_e1.xml
vehN30_p050_seed1,30,0.5,1,975.600,1260.000,28.315,out/vehN30_p050_seed1_e1.xml
vehN40_p050_seed1,40,0.5,1,1212.000,1380.000,28.209,out/vehN40_p050_seed1_e1.xml
vehN50_p050_seed1,50,0.5,1,1304.400,1440.000,28.008,out/vehN50_p050_seed1_e1.xml
vehN60_p050_seed1,60,0.5,1,1372.800,1500.000,28.118,out/vehN60_p050_seed1_e1.xml
vehN70_p050_seed1,70,0.5,1,1448.400,1680.000,28.151,out/vehN70_p050_seed1_e1.xml
vehN80_p050_seed1,80,0.5,1,1449.600,1620.000,28.109,out/vehN80_p050_seed1_e1.xml
vehN90_p050_seed1,90,0.5,1,1515.600,1680.000,27.943,out/vehN90_p050_seed1_e1.xml
vehN100_p050_seed1,100,0.5,1,1652.400,1920.000,27.208,out/vehN100_p050_seed1_e1.xml
vehN110_p050_seed1,110,0.5,1,1552.800,1800.000,24.032,out/vehN110_p050_seed1_e1.xml
vehN120_p050_seed1,120,0.5,1,1585.200,1740.000,24.816,out/vehN120_p050_seed1_e1.xml
vehN10_p055_seed1,10,0.55,1,342.000,540.000,29.421,out/vehN10_p055_seed1_e1.xml
vehN20_p055_seed1,20,0.55,1,680.400,840.000,28.879,out/vehN20_p055_seed1_e1.xml
vehN30_p055_seed1,30,0.55,1,981.600,1200.000,28.517,out/vehN30_p055_seed1_e1.xml
vehN40_p055_seed1,40,0.55,1,1239.600,1440.000,28.184,out/vehN40_p055_seed1_e1.xml
vehN50_p055_seed1,50,0.55,1,1374.000,1560.000,28.207,out/vehN50_p055_seed1_e1.xml
vehN60_p055_seed1,60,0.55,1,1452.000,1620.000,28.182,out/vehN60_p055_seed1_e1.xml
vehN70_p055_seed1,70,0.55,1,1549.200,1740.000,28.291,out/vehN70_p055_seed1_e1.xml
vehN80_p055_seed1,80,0.55,1,1596.000,1860.000,28.274,out/vehN80_p055_seed1_e1.xml
vehN90_p055_seed1,90,0.55,1,1672.800,1800.000,28.202,out/vehN90_p055_seed1_e1.xml
vehN100_p055_seed1,100,0.55,1,1813.200,2040.000,27.457,out/vehN100_p055_seed1_e1.xml
vehN110_p055_seed1,110,0.55,1,1712.400,1920.000,26.104,out/vehN110_p055_seed1_e1.xml
vehN120_p055_seed1,120,0.55,1,1754.400,1920.000,22.382,out/vehN120_p055_seed1_e1.xml
vehN10_p060_seed1,10,0.6,1,342.000,540.000,29.421,out/vehN10_p060_seed1_e1.xml
vehN20_p060_seed1,20,0.6,1,684.000,960.000,29.204,out/vehN20_p060_seed1_e1.xml
vehN30_p060_seed1,30,0.6,1,1006.800,1260.000,28.897,out/vehN30_p060_seed1_e1.xml
vehN40_p060_seed1,40,0.6,1,1286.400,1560.000,28.639,out/vehN40_p060_seed1_e1.xml
vehN50_p060_seed1,50,0.6,1,1422.000,1680.000,28.298,out/vehN50_p060_seed1_e1.xml
vehN60_p060_seed1,60,0.6,1,1524.000,1800.000,28.289,out/vehN60_p060_seed1_e1.xml
vehN70_p060_seed1,70,0.6,1,1609.200,1800.000,28.402,out/vehN70_p060_seed1_e1.xml
vehN80_p060_seed1,80,0.6,1,1761.600,1980.000,28.414,out/vehN80_p060_seed1_e1.xml
vehN90_p060_seed1,90,0.6,1,1792.800,2040.000,28.323,out/vehN90_p060_seed1_e1.xml
vehN100_p060_seed1,100,0.6,1,1969.200,2280.000,27.805,out/vehN100_p060_seed1_e1.xml
vehN110_p060_seed1,110,0.6,1,1879.200,2160.000,26.488,out/vehN110_p060_seed1_e1.xml
vehN120_p060_seed1,120,0.6,1,1954.800,2160.000,23.394,out/vehN120_p060_seed1_e1.xml
vehN10_p065_seed1,10,0.65,1,342.000,540.000,29.421,out/vehN10_p065_seed1_e1.xml
vehN20_p065_seed1,20,0.65,1,697.200,900.000,29.350,out/vehN20_p065_seed1_e1.xml
vehN30_p065_seed1,30,0.65,1,1024.800,1320.000,29.250,out/vehN30_p065_seed1_e1.xml
vehN40_p065_seed1,40,0.65,1,1317.600,1560.000,28.842,out/vehN40_p065_seed1_e1.xml
vehN50_p065_seed1,50,0.65,1,1466.400,1680.000,28.431,out/vehN50_p065_seed1_e1.xml
vehN60_p065_seed1,60,0.65,1,1608.000,1860.000,28.494,out/vehN60_p065_seed1_e1.xml
vehN70_p065_seed1,70,0.65,1,1758.000,1980.000,28.678,out/vehN70_p065_seed1_e1.xml
vehN80_p065_seed1,80,0.65,1,1870.800,2040.000,28.571,out/vehN80_p065_seed1_e1.xml
vehN90_p065_seed1,90,0.65,1,1942.800,2160.000,28.356,out/vehN90_p065_seed1_e1.xml
